hora_simulada,asistencia_promedio,total_eventos
0,40167.807692307695,26
1,43628.48148148148,27
2,44325.11111111111,27
3,49012.22222222222,27
4,46878.37037037037,27
5,44713.48148148148,27
6,45466.444444444445,27
7,44772.48148148148,27
8,45766.333333333336,27
9,44143.81481481482,27
10,40746.88888888889,27
11,42326.18518518518,27
12,44456.0,28
13,47877.307692307695,26
14,47597.851851851854,27
15,46257.25925925926,27
16,41994.11111111111,27
17,43042.25925925926,27
18,45719.11111111111,27
19,49177.7037037037,27
20,46937.346153846156,26
21,46841.61538461538,26
22,45816.230769230766,26
23,47133.92307692308,26
